Date,Close,Date,Close,Date,Close
2015-03-03,179.19,2015-03-03,572.07,2015-03-03,47.71
2015-03-04,174.68,2015-03-04,571.8,2015-03-04,47.57
2015-03-05,170.3,2015-03-05,573.76,2015-03-05,47.35
2015-03-06,161.72,2015-03-06,566.13,2015-03-06,46.75
2015-03-09,164.86,2015-03-09,567.29,2015-03-09,47.59
2015-03-10,161.04,2015-03-10,553.49,2015-03-10,45.84
2015-03-11,160.21,2015-03-11,549.67,2015-03-11,46.27
2015-03-12,163.03,2015-03-12,553.99,2015-03-12,47.07
2015-03-13,164.26,2015-03-13,545.82,2015-03-13,46.66
2015-03-16,168.41,2015-03-16,552.99,2015-03-16,46.43
2015-03-17,169.96,2015-03-17,549.33,2015-03-17,46.93
2015-03-18,173.24,2015-03-18,557.97,2015-03-18,47.2
2015-03-19,173.78,2015-03-19,556.46,2015-03-19,47.93
2015-03-20,174.76,2015-03-20,558.83,2015-03-20,48.44
2015-03-23,174.35,2015-03-23,557.28,2015-03-23,48.46
2015-03-24,172.5,2015-03-24,568.63,2015-03-24,51.47
2015-03-25,166.96,2015-03-25,557.26,2015-03-25,49.5
2015-03-26,169.54,2015-03-26,553.65,2015-03-26,49.92
2015-03-27,170.13,2015-03-27,546.84,2015-03-27,50.01
2015-03-30,170.91,2015-03-30,550.52,2015-03-30,49.89
2015-03-31,169.19,2015-03-31,546.5,2015-03-31,50.08
2015-04-01,169.16,2015-04-01,541.07,2015-04-01,50.47
2015-04-02,169.52,2015-04-02,534.06,2015-04-02,50.42
2015-04-06,170.02,2015-04-06,535.3,2015-04-06,50.84
2015-04-07,170.28,2015-04-07,535.55,2015-04-07,52.87
2015-04-08,172.07,2015-04-08,540.13,2015-04-08,52.3
2015-04-09,173.99,2015-04-09,539.3,2015-04-09,52.17
2015-04-10,175.99,2015-04-10,538.53,2015-04-10,51.94
2015-04-13,171.96,2015-04-13,537.69,2015-04-13,51.62
2015-04-14,171.12,2015-04-14,528.94,2015-04-14,51.2
2015-04-15,173.39,2015-04-15,531.07,2015-04-15,51.3
2015-04-16,173.35,2015-04-16,532.34,2015-04-16,52.03
2015-04-17,170.65,2015-04-17,522.62,2015-04-17,50.66
2015-04-20,171.22,2015-04-20,533.91,2015-04-20,51.4
2015-04-21,175.39,2015-04-21,532.51,2015-04-21,51.32
2015-04-22,176.32,2015-04-22,537.89,2015-04-22,51.73
2015-04-23,176.63,2015-04-23,545.5,2015-04-23,51.41
2015-04-24,175.09,2015-04-24,563.51,2015-04-24,50.82
2015-04-27,173.56,2015-04-27,555.37,2015-04-27,51.66
2015-04-28,169.7,2015-04-28,553.68,2015-04-28,42.27
2015-04-29,187.07,2015-04-29,549.08,2015-04-29,38.49
2015-04-30,182.12,2015-04-30,537.34,2015-04-30,38.96
2015-05-01,182.68,2015-05-01,537.9,2015-05-01,37.84
